country,cuisines,restaurant_count,percentage,average_rating,total_reviews
Germany,Peruvian,31,0.0336729595272751,4.225806451612903,334.0
Germany,Philippine,8,0.008689796007038734,4.0,95.0
Germany,Pizza,7582,8.235754165670961,3.9770509100501186,66184.0
Germany,Polish,76,0.08255306206686798,4.355263157894737,552.0
Germany,Polynesian,3,0.0032586735026395256,4.166666666666667,171.0
Germany,Portuguese,147,0.15967500162933676,4.2687074829931975,1319.0
Germany,Pub,3255,3.5356607503638853,4.1380952380952385,37350.0
Germany,Puerto Rican,1,0.0010862245008798417,5.0,4.0
Germany,Romagna,2,0.0021724490017596835,5.0,3.0
Germany,Romana,10,0.010862245008798418,4.25,770.0
Germany,Romanian,19,0.020638265516716995,4.052631578947368,39.0
Germany,Russian,91,0.09884642958006559,4.2967032967032965,456.0
Germany,Salvadoran,2,0.0021724490017596835,4.25,5.0
Germany,Sardinian,21,0.022810714518476678,4.4523809523809526,504.0
Germany,Scandinavian,32,0.034759184028154935,4.359375,223.0
Germany,Scottish,7,0.007603571506158893,4.142857142857143,233.0
Germany,Seafood,2517,2.734027068714562,4.116805721096544,34564.0
Germany,Sicilian,80,0.08689796007038735,4.43125,2155.0
Germany,Singaporean,9,0.009776020507918577,4.333333333333333,149.0
Germany,Slovenian,3,0.0032586735026395256,3.1666666666666665,15.0
Germany,Soups,702,0.762529599617649,4.2905982905982905,6202.0
Germany,South American,309,0.3356433707718711,4.072815533980583,2461.0
Germany,Southern-Italian,286,0.31066020725163473,4.361888111888112,4579.0
Germany,Southwestern,59,0.06408724555191067,3.8728813559322033,2072.0
Germany,Spanish,1059,1.1503117464317525,4.0576015108593015,10862.0
Germany,Sri Lankan,34,0.036931633029914625,4.338235294117647,332.0
Germany,Steakhouse,1480,1.607612261302166,4.08445945945946,24625.0
Germany,Street Food,590,0.6408724555191067,4.291525423728814,3840.0
Germany,Sushi,1860,2.020377571636506,3.954301075268817,19995.0
Germany,Swedish,34,0.036931633029914625,3.735294117647059,230.0
Germany,Swiss,65,0.07060459255718972,4.369230769230769,855.0
Germany,Taiwanese,26,0.028241837022875887,4.423076923076923,165.0
Germany,Thai,1334,1.449023484173709,4.14167916041979,15261.0
Germany,Tibetan,13,0.014120918511437944,4.538461538461538,190.0
Germany,Tunisian,5,0.005431122504399209,4.1,14.0
