country,cuisines,restaurant_count,percentage,average_rating,total_reviews,obesity_rate,GDP per capita
Croatia,Central-Italian,6,0.2108222066057624,4.916666666666667,72.0,26.5,23301.27286
Croatia,Chinese,35,1.229796205200281,3.857142857142857,1034.0,26.5,23301.27286
Croatia,Contemporary,23,0.8081517919887562,4.326086956521739,2795.0,26.5,23301.27286
Croatia,Croatian,1691,59.41672522839072,4.120047309284447,88006.0,26.5,23301.27286
Croatia,Czech,2,0.0702740688685874,4.25,36.0,26.5,23301.27286
Croatia,Deli,15,0.5270555165144062,4.233333333333333,449.0,26.5,23301.27286
Croatia,Diner,35,1.229796205200281,4.385714285714286,1449.0,26.5,23301.27286
Croatia,Dining bars,1,0.0351370344342937,5.0,4.0,26.5,23301.27286
Croatia,Dutch,1,0.0351370344342937,4.0,1.0,26.5,23301.27286
Croatia,Eastern European,77,2.705551651440618,4.194805194805195,9988.0,26.5,23301.27286
Croatia,European,1751,61.52494729444835,4.121359223300971,88476.0,26.5,23301.27286
Croatia,Fast food,148,5.200281096275474,4.216216216216216,4552.0,26.5,23301.27286
Croatia,French,16,0.5621925509486999,4.65625,449.0,26.5,23301.27286
Croatia,Fusion,24,0.8432888264230498,4.5,1659.0,26.5,23301.27286
Croatia,Gastropub,8,0.2810962754743499,4.1875,399.0,26.5,23301.27286
Croatia,German,11,0.3865073787772312,4.5,142.0,26.5,23301.27286
Croatia,Greek,5,0.1756851721714687,4.6,81.0,26.5,23301.27286
Croatia,Grill,199,6.992269852424456,4.190954773869347,7977.0,26.5,23301.27286
Croatia,Hawaiian,1,0.0351370344342937,4.5,20.0,26.5,23301.27286
Croatia,Healthy,56,1.9676739283204496,4.607142857142857,8875.0,26.5,23301.27286
Croatia,Hungarian,3,0.1054111033028812,4.333333333333333,49.0,26.5,23301.27286
Croatia,Indian,6,0.2108222066057624,4.416666666666667,627.0,26.5,23301.27286
Croatia,Indonesian,1,0.0351370344342937,2.0,12.0,26.5,23301.27286
Croatia,International,118,4.146170063246662,4.258474576271187,5245.0,26.5,23301.27286
Croatia,Irish,2,0.0702740688685874,4.25,24.0,26.5,23301.27286
Croatia,Italian,461,16.198172874209416,4.1898047722342735,24402.0,26.5,23301.27286
Croatia,Japanese,22,0.7730147575544624,4.25,1608.0,26.5,23301.27286
Croatia,Japanese Fusion,5,0.1756851721714687,3.8,92.0,26.5,23301.27286
Croatia,Korean,6,0.2108222066057624,4.083333333333333,208.0,26.5,23301.27286
Croatia,Latin,5,0.1756851721714687,4.2,609.0,26.5,23301.27286
Croatia,Lebanese,4,0.1405481377371749,4.25,71.0,26.5,23301.27286
Croatia,Malaysian,2,0.0702740688685874,4.25,59.0,26.5,23301.27286
Croatia,Mediterranean,1066,37.456078706957136,4.114915572232645,68887.0,26.5,23301.27286
Croatia,Mexican,16,0.5621925509486999,3.96875,611.0,26.5,23301.27286
Croatia,Middle Eastern,7,0.2459592410400562,4.428571428571429,296.0,26.5,23301.27286
Croatia,Mongolian,1,0.0351370344342937,4.0,27.0,26.5,23301.27286
Croatia,Neapolitan,7,0.2459592410400562,4.285714285714286,708.0,26.5,23301.27286
Croatia,Northern-Italian,4,0.1405481377371749,4.875,32.0,26.5,23301.27286
Croatia,Norwegian,1,0.0351370344342937,5.0,13.0,26.5,23301.27286
Croatia,Not specified,265,9.311314125087842,4.056603773584905,3784.0,26.5,23301.27286
Croatia,Peruvian,1,0.0351370344342937,4.5,13.0,26.5,23301.27286
Croatia,Pizza,428,15.038650737877724,4.031542056074766,21013.0,26.5,23301.27286
Croatia,Pub,141,4.954321855235419,4.280141843971631,3790.0,26.5,23301.27286
Croatia,Russian,1,0.0351370344342937,5.0,5.0,26.5,23301.27286
Croatia,Scandinavian,3,0.1054111033028812,4.5,54.0,26.5,23301.27286
Croatia,Seafood,790,27.758257203092057,4.046835443037975,47449.0,26.5,23301.27286
Croatia,Slovenian,10,0.3513703443429374,4.15,53.0,26.5,23301.27286
Croatia,Soups,28,0.9838369641602248,4.267857142857143,2296.0,26.5,23301.27286
Croatia,South American,6,0.2108222066057624,4.166666666666667,71.0,26.5,23301.27286
Croatia,Southern-Italian,12,0.4216444132115249,4.416666666666667,767.0,26.5,23301.27286
